'tween decks
12-tone music
12-tone system
18-karat gold
1st-class mail
2-hydroxybenzoic acid
2-methylpropenoic acid
22-karat gold
24-hour interval
24-karat gold
401-k plan
a-scan ultrasonography
aaland islands
aare river
aaron burr
aaron copland
abandoned infant
abandoned person
abandoned ship
abasia trepidans
abatable nuisance
abbe condenser
abdominal actinomycosis
abdominal aorta
abdominal breathing
abdominal cavity
abdominal delivery
abdominal muscle
abdominal pregnancy
abdominal wall
abducens muscle
abducens nerve
abducent nerve
abductor muscle
abel tasman
abelian group
abelmoschus esculentus
abelmoschus moschatus
aberdeen angus
abies alba
abies amabilis
abies balsamea
abies bracteata
abies concolor
abies fraseri
abies grandis
abies lasiocarpa
abies lowiana
abies venusta
ablative absolute
ablative case
able seaman
able-bodied seaman
abney level
abnormal psychology
abominable snowman
aboriginal australian
abortion pill
abortion-inducing drug
about turn
abrading stone
abraham lincoln
abraham stoker
abraham's bosom
abramis brama
abrasive material
abronia elliptica
abronia fragrans
abronia latifolia
abronia maritima
abronia umbellata
abronia villosa
abruptio placentae
abruptly-pinnate leaf
abscessed tooth
absence seizure
absentee ballot
absentee rate
absolute alcohol
absolute ceiling
absolute frequency
absolute magnitude
absolute majority
absolute pitch
absolute scale
absolute space
absolute temperature
absolute threshold
absolute value
absolute viscosity
absolute zero
absorbent cotton
absorbent material
absorption band
absorption coefficient
absorption factor
absorption indicator
absorption spectrum
absorption unit
abstract artist
abstract entity
abstract expressionism
abstract thought
abudefduf saxatilis
abutilon theophrasti
abutment arch
abyssal zone
abyssinian banana
acacia auriculiformis
acacia cambegei
acacia catechu
acacia dealbata
acacia farnesiana
acacia melanoxylon
acacia pycnantha
acacia xanthophloea
academic administrator
academic costume
academic degree
academic department
academic freedom
academic gown
academic program
academic relation
academic requirement
academic robe
academic session
academic term
academic year
academy award
acalypha virginica
acanthisitta chloris
acanthocereus pentagonus
acanthocereus tetragonus
acanthocybium solandri
acanthophis antarcticus
acanthoscelides obtectus
acanthosis nigricans
acanthurus chirurgus
acanthus family
acanthus mollis
acapulco gold
acaroid resin
accaroid resin
acceleration unit
accelerator factor
accelerator pedal
accent mark
accentual system
acceptance sampling
access code
access road
access time
accessory fruit
accessory nerve
accident surgery
accidental injury
accipiter cooperii
accipiter gentilis
accipiter nisus
accommodation endorser
accommodation ladder
accommodation reflex
accompanying vein
accomplished fact
accordion door
account book
account executive
account payable
account representative
account statement
accounting data
accounting entry
accounting firm
accounting principle
accounting standard
accounting system
accounts payable
accounts receivable
accroides resin
accrual basis
accumulator register
accusative case
acentric chromosome
acer argutum
acer campestre
acer circinatum
acer glabrum
acer japonicum
acer macrophyllum
acer negundo
acer palmatum
acer pennsylvanicum
acer platanoides
acer pseudoplatanus
acer rubrum
acer saccharinum
acer saccharum
acer spicatum
acerate leaf
acetate disk
acetate rayon
acetic acid
acetic anhydride
acetoacetic acid
acetone body
acetyl chloride
acetyl group
acetyl radical
acetylsalicylic acid
acherontia atropos
acheson process
acheta assimilis
acheta domestica
achille ratti
achillea millefolium
achillea ptarmica
achilles tendon
achilles' heel
achmad sukarno
achoerodus gouldii
achras zapota
achromatic color
achromatic colour
achromatic lens
achromatic vision
achylia gastrica
acid anhydrides
acid halide
acid head
acid hydrogen
acid precipitation
acid rain
acid rock
acid test
acid value
acid-base balance
acid-base equilibrium
acid-base indicator
acidic hydrogen
acidophilus milk
acinonyx jubatus
acinos arvensis
acipenser huso
acipenser transmontanus
aclinic line
acne rosacea
acne vulgaris
acocanthera oblongifolia
acocanthera oppositifolia
acocanthera spectabilis
acocanthera venenata
aconitum lycoctonum
aconitum napellus
acorn barnacle
acorn squash
acorn tube
acorus calamus
acoustic aphasia
acoustic buoy
acoustic device
acoustic gramophone
acoustic guitar
acoustic impedance
acoustic meatus
acoustic modem
acoustic nerve
acoustic phenomenon
acoustic power
acoustic projection
acoustic reactance
acoustic resistance
acoustic spectrum
acoustic storage
acoustic wave
acquired hemochromatosis
acquired immunity
acquired reflex
acquired taste
acquisition agreement
acre inch
acridotheres tristis
acris crepitans
acris gryllus
acrobatic feat
acrobatic stunt
acrocarpous moss
